ID,cases,date
1,1105,3/29/20
2,1014,3/30/20
3,3573,3/31/20
4,3513,4/1/20
5,3793,4/2/20
6,3177,4/3/20
7,4094,4/4/20
8,2417,4/5/20
9,3237,4/6/20
10,5881,4/7/20
11,6707,4/8/20
12,6035,4/9/20
13,4854,4/10/20
14,3419,4/11/20
15,4600,4/12/20
16,3887,4/13/20
17,5752,4/14/20
18,9602,4/15/20
19,6609,4/16/20
20,10226,4/17/20
21,9344,4/18/20
22,6267,4/19/20
23,6559,4/20/20
24,7335,4/21/20
25,8408,4/22/20
26,13436,4/23/20
27,12581,4/24/20
28,16582,4/25/20
29,11856,4/26/20
30,13646,4/27/20
31,18177,4/28/20
32,20253,4/29/20
33,23556,4/30/20
34,15747,5/1/20
35,15379,5/2/20
36,14839,5/3/20
37,21333,5/4/20
38,21461,5/5/20
39,35029,5/6/20
40,28768,5/7/20
41,34919,5/8/20
42,28784,5/9/20
43,20843,5/10/20
44,21650,5/11/20
45,27066,5/12/20
46,37438,5/13/20
47,40907,5/14/20
48,53775,5/15/20
49,41510,5/16/20
50,23766,5/17/20
51,44864,5/18/20
52,51863,5/19/20
53,61839,5/20/20
54,58115,5/21/20
55,65321,5/22/20
56,51835,5/23/20
57,49652,5/24/20
58,36697,5/25/20
59,51257,5/26/20
60,64680,5/27/20
61,82949,5/28/20
62,84553,5/29/20
63,104480,5/30/20
64,51524,5/31/20
65,36417,6/1/20
66,90859,6/2/20
67,89907,6/3/20
68,97104,6/4/20
69,96806,6/5/20
70,85015,6/6/20
71,59383,6/7/20
72,49153,6/8/20
73,100765,6/9/20
74,103346,6/10/20
75,95493,6/11/20
76,81583,6/12/20
77,68150,6/13/20
78,53725,6/14/20
79,64831,6/15/20
80,109642,6/16/20
81,101070,6/17/20
82,71482,6/18/20
83,171980,6/19/20
84,108851,6/20/20
85,49492,6/21/20
86,72625,6/22/20
87,123829,6/23/20
88,134156,6/24/20
89,123976,6/25/20
90,147140,6/26/20
91,121496,6/27/20
92,95694,6/28/20
93,75523,6/29/20
94,106276,6/30/20
95,146675,7/1/20
96,151049,7/2/20
97,132580,7/3/20
98,119078,7/4/20
99,81800,7/5/20
100,63519,7/6/20
101,142257,7/7/20
102,139952,7/8/20
103,133823,7/9/20
104,141450,7/10/20
105,122532,7/11/20
106,77969,7/12/20
107,63698,7/13/20
108,131430,7/14/20
109,125361,7/15/20
110,142565,7/16/20
111,107315,7/17/20
112,89590,7/18/20
113,73881,7/19/20
114,63606,7/20/20
115,128765,7/21/20
116,213080,7/22/20
117,188277,7/23/20
118,175497,7/24/20
119,160601,7/25/20
120,77174,7/26/20
121,73111,7/27/20
122,128162,7/28/20
123,216892,7/29/20
124,181608,7/30/20
125,164482,7/31/20
126,142530,8/1/20
127,81012,8/2/20
128,52252,8/3/20
129,162033,8/4/20
130,179457,8/5/20
131,166856,8/6/20
132,157722,8/7/20
133,156905,8/8/20
134,72251,8/9/20
135,69230,8/10/20
136,163782,8/11/20
137,173186,8/12/20
138,188685,8/13/20
139,159022,8/14/20
140,130548,8/15/20
141,72537,8/16/20
142,60831,8/17/20
143,150041,8/18/20
144,154795,8/19/20
145,142314,8/20/20
146,95314,8/21/20
147,157100,8/22/20
148,73541,8/23/20
149,53624,8/24/20
150,148000,8/25/20
151,148085,8/26/20
152,138897,8/27/20
153,136313,8/28/20
154,129839,8/29/20
155,50736,8/30/20
156,144317,8/31/20
157,133949,9/1/20
158,147372,9/2/20
159,137447,9/3/20
160,157511,9/4/20
161,97964,9/5/20
162,45595,9/6/20
163,32257,9/7/20
164,44836,9/8/20
165,112462,9/9/20
166,127348,9/10/20
167,137274,9/11/20
168,105262,9/12/20
169,46371,9/13/20
170,47586,9/14/20
171,115090,9/15/20
172,115614,9/16/20
173,113991,9/17/20
174,124962,9/18/20
175,103798,9/19/20
176,51461,9/20/20
177,42110,9/21/20
178,104637,9/22/20
179,0,9/23/20
180,208301,9/24/20
181,100200,9/25/20
182,89106,9/26/20
183,44958,9/27/20
184,41306,9/28/20
185,100662,9/29/20
186,104916,9/30/20
187,113532,10/1/20
188,0,10/2/20
189,187586,10/3/20
190,26551,10/4/20
191,37510,10/5/20
192,131584,10/6/20
193,99076,10/7/20
194,87135,10/8/20
195,86174,10/9/20
196,83991,10/10/20
197,38753,10/11/20
198,26467,10/12/20
199,32090,10/13/20
200,85517,10/14/20
201,89562,10/15/20
202,97069,10/16/20
203,75554,10/17/20
204,0,10/18/20
205,82786,10/19/20
206,72932,10/20/20
207,77928,10/21/20
208,78054,10/22/20
209,94281,10/23/20
210,84714,10/24/20
211,42368,10/25/20
212,49379,10/26/20
213,93531,10/27/20
214,89895,10/28/20
215,81972,10/29/20
216,69965,10/30/20
217,59493,10/31/20
218,31714,11/1/20
219,26693,11/2/20
220,37187,11/3/20
221,75284,11/4/20
222,0,11/5/20
223,129229,11/6/20
224,70273,11/7/20
225,33139,11/8/20
226,34279,11/9/20
227,75275,11/10/20
228,152776,11/11/20
229,106515,11/12/20
230,91279,11/13/20
231,120283,11/14/20
232,44380,11/15/20
233,41984,11/16/20
234,110823,11/17/20
235,107045,11/18/20
236,112782,11/19/20
237,120566,11/20/20
238,102433,11/21/20
239,58451,11/22/20
240,50889,11/23/20
241,97654,11/24/20
242,150399,11/25/20
243,118107,11/26/20
244,107168,11/27/20
245,163035,11/28/20
246,76829,11/29/20
247,66373,11/30/20
248,159854,12/1/20
249,156569,12/2/20
250,158362,12/3/20
251,147215,12/4/20
252,135676,12/5/20
253,82779,12/6/20
254,63964,12/7/20
255,160416,12/8/20
256,167842,12/9/20
257,167509,12/10/20
258,170903,12/11/20
259,137846,12/12/20
260,68530,12/13/20
261,79106,12/14/20
262,134671,12/15/20
263,221602,12/16/20
264,219253,12/17/20
265,164988,12/18/20
266,157555,12/19/20
267,79897,12/20/20
268,78559,12/21/20
269,173334,12/22/20
270,146625,12/23/20
271,183463,12/24/20
272,77291,12/25/20
273,54152,12/26/20
274,58024,12/27/20
275,64520,12/28/20
276,184374,12/29/20
277,174737,12/30/20
278,178267,12/31/20
279,77259,1/1/21
280,49696,1/2/21
281,54450,1/3/21
282,62818,1/4/21
283,177874,1/5/21
284,199170,1/6/21
285,275827,1/7/21
286,163389,1/8/21
287,195590,1/9/21
288,93546,1/10/21
289,81081,1/11/21
290,201038,1/12/21
291,191222,1/13/21
292,212760,1/14/21
293,217281,1/15/21
294,193320,1/16/21
295,103745,1/17/21
296,74326,1/18/21
297,194975,1/19/21
298,202168,1/20/21
299,185633,1/21/21
300,177573,1/22/21
301,195728,1/23/21
302,88934,1/24/21
